Story Readable ID,Story Title,Current Category Readable ID,Current Category Name,Current Category Level,Parent,Order,Current Category Path,Suggested Parent Readable ID,Suggested Parent Name,
close-call,Close Call,close-call,Close Call,4,,,THEMES > Music > Have you ever missed a flight? > Close Call,have-you-ever-missed-a-flight,Travel,
closing-note-music-and-life,Closing Note: Music and Life,closing-note-music-and-life,Closing Note: Music and Life,4,,,THEMES > Music > What did you listen to over the years? > Closing Note: Music and Life,what-did-you-listen-to-over,Music,
coconut-cake,Coconut Cake,coconut-cake,Coconut Cake,4,,,Introduction > My Paternal Grandmother > What stories do you remember about her? > Coconut Cake,what-stories-do-you-remember,My Paternal Grandmother,
college-golf,College Golf,college-golf,College Golf,4,High School,,"Preschool > High School > Did
you participate in high school sports? > College Golf",did-you-participate-in-high,High School,
color,Color,color,Color,4,,,THEMES > Miscellaneous > Favorites > Color,favorites,Favorites,
computers,Computers,computers,Computers,4,,,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life? > Computers",what-inventions-have-had-the,Technology,
constant-competition,Constant Competition,constant-competition,Constant Competition,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Constant Competition,what-do-you-remember-outside,Elementary School,
cost-of-things-food-gas-cars,"Cost of things�.food, gas, cars, movies, houses",cost-of-things-food-gas-cars,"Cost of things�.food, gas, cars, movies, houses",4,,,"THEMES > Advice > What are your happiest moments? > Cost of things�.food, gas, cars, movies, houses",what-are-your-happiest-moments,Reflection,
cough-drops,Cough Drops,cough-drops,Cough Drops,4,,,Introduction > My Maternal Grandfather > What stories do you remember about him? > Cough Drops,what-stories-do-you-remember,My Maternal Grandfather,
craig-niemiec,Craig Niemiec,craig-niemiec,Craig Niemiec,4,,,Adulthood > Career Reflection > Who was your worst boss? > Craig Niemiec,who-was-your-worst-boss,Career Reflection,
creative-mishaps,"Creative
Mishaps",creative-mishaps,"Creative
Mishaps",4,,,"Preschool > Elementary School > What do you remember outside of school about this time? > Creative
Mishaps",what-do-you-remember-outside,Elementary School,
creighton-street,Creighton Street,creighton-street,Creighton Street,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Creighton Street,what-do-you-remember-outside,Elementary School,
cub-scouts,Cub Scouts,cub-scouts,Cub Scouts,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Cub Scouts,what-do-you-remember-outside,Elementary School,
cutting-grass,Cutting Grass,cutting-grass,Cutting Grass,4,,,Adulthood > Career > What were your first odd jobs? > Cutting Grass,what-were-your-first-odd-jobs,Career,
dad-s-first-and-last-deer,Dad�s First and Last Deer,dad-s-first-and-last-deer,Dad�s First and Last Deer,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Dad�s First and Last Deer,what-do-you-remember-outside,Middle School,
dad-s-garden,"Dad's
Garden",dad-s-garden,"Dad's
Garden",4,,,"Preschool > What do you remember from this period? > Dad's
Garden",what-do-you-remember-from-this,Preschool,
dale-carnegie,Dale Carnegie,dale-carnegie,Dale Carnegie,4,,,Adulthood > Career > University of South Carolina > Dale Carnegie,university-of-south-carolina,University of South Carolina,
davos-switzerland,"Davos, Switzerland",davos-switzerland,"Davos, Switzerland",4,,,"THEMES > Music > Did you ever take any great road trips? > Davos, Switzerland",did-you-ever-take-any-great,Travel,
dedication,Dedication,dedication,Dedication,4,,,Introduction > My Mother > What was she like when she was younger? > Dedication,what-was-she-like-when-she-was,My Mother,
dessert,Dessert,dessert,Dessert,4,,,THEMES > Miscellaneous > Favorites > Dessert,favorites,Favorites,
did-you-ever-get-in-trouble-at,"Did you ever get in
trouble at school as a child?",did-you-ever-get-in-trouble-at,"Did you ever get in
trouble at school as a child?",3,,,"Preschool > Elementary School > Did you ever get in
trouble at school as a child?",elementary-school,Elementary School,
did-you-ever-quit-a-job,Did you ever quit a job?,did-you-ever-quit-a-job,Did you ever quit a job?,3,,,Adulthood > Career Reflection > Did you ever quit a job?,career-reflection,Career Reflection,
did-you-ever-rebel,Did you ever rebel?,did-you-ever-rebel,Did you ever rebel?,3,My Parents,,Introduction > Their Partnership > Did you ever rebel?,their-partnership,My Parents,
did-you-ever-skip-school,Did you ever skip school?,did-you-ever-skip-school,Did you ever skip school?,3,,,THEMES > Miscellaneous > Did you ever skip school?,miscellaneous,Miscellaneous,
did-you-ever-want-to-be-a,"Did you ever want to
be a professional athlete?",did-you-ever-want-to-be-a,"Did you ever want to
be a professional athlete?",3,Sports,,"THEMES > Sports > Did you ever want to
be a professional athlete?",sports,Sports,
did-you-go-to-college,Did you go to college?,did-you-go-to-college,Did you go to college?,3,College,,Adulthood > College > Did you go to college?,college,College,
did-you-go-to-graduate-school,"Did you go to graduate
school?",did-you-go-to-graduate-school,"Did you go to graduate
school?",3,,,"Adulthood > Graduate School > Did you go to graduate
school?",graduate-school,Graduate School,
did-you-have-any-siblings,Did you have any siblings?,did-you-have-any-siblings,Did you have any siblings?,3,,,Introduction > My Siblings > Did you have any siblings?,my-siblings,My Siblings,
did-you-have-braces,Did you have braces?,did-you-have-braces,Did you have braces?,3,,,THEMES > Miscellaneous > Did you have braces?,miscellaneous,Miscellaneous,
did-you-join-a-fraternity-in,Did you join a fraternity in college?,did-you-join-a-fraternity-in,Did you join a fraternity in college?,3,,,Adulthood > College > Did you join a fraternity in college?,college,College,
did-you-work-in-college,Did you work in college?,did-you-work-in-college,Did you work in college?,3,,,Adulthood > College > Did you work in college?,college,College,
did-your-father-have-any,Did your father have any siblings?,did-your-father-have-any,Did your father have any siblings?,3,,,Introduction > My Father > Did your father have any siblings?,my-father,My Father,
did-your-mother-have-any,Did your mother have any siblings?,did-your-mother-have-any,Did your mother have any siblings?,3,,,Introduction > My Mother > Did your mother have any siblings?,my-mother,My Mother,
did-you-participate-in-high,"Did
you participate in high school sports?",did-you-participate-in-high,"Did
you participate in high school sports?",3,,,"Preschool > High School > Did
you participate in high school sports?",high-school,High School,
didn-t-make-the-golf-team,Didn�t Make the Golf Team,didn-t-make-the-golf-team,Didn�t Make the Golf Team,4,,,THEMES > Blessings > What were your disappointments? > Didn�t Make the Golf Team,what-were-your-disappointments,Reflection,
didn-t-make-the-team,Didn�t Make the Team,didn-t-make-the-team,Didn�t Make the Team,4,,,THEMES > Blessings > What were your disappointments? > Didn�t Make the Team,what-were-your-disappointments,High School,
different-inside,Different Inside,different-inside,Different Inside,4,,,Introduction > My Maternal Grandmother > What stories do you remember about her? > Different Inside,what-stories-do-you-remember,My Maternal Grandmother,
director-of-latin-american,Director of Latin American Operations,director-of-latin-american,Director of Latin American Operations,4,,,Adulthood > Career > University of South Carolina > Director of Latin American Operations,university-of-south-carolina,University of South Carolina,
disrespect,Disrespect,disrespect,Disrespect,4,,,Introduction > My Maternal Grandmother > What stories do you remember about her? > Disrespect,what-stories-do-you-remember,My Maternal Grandmother,
diversity-and-inclusion,Diversity and Inclusion:,diversity-and-inclusion,Diversity and Inclusion:,3,,,THEMES > Issues > Diversity and Inclusion:,issues,Issues,
do-you-believe-in-life-after,"Do you believe in life
after death?",do-you-believe-in-life-after,"Do you believe in life
after death?",3,,,"THEMES > Miscellaneous > Do you believe in life
after death?",miscellaneous,Miscellaneous,
do-you-believe-in-ghosts,"Do you believe in
ghosts?",do-you-believe-in-ghosts,"Do you believe in
ghosts?",3,,,"THEMES > Miscellaneous > Do you believe in
ghosts?",miscellaneous,Miscellaneous,
do-you-believe-in-ufos,"Do you believe in
UFOs?",do-you-believe-in-ufos,"Do you believe in
UFOs?",3,,,"THEMES > Miscellaneous > Do you believe in
UFOs?",miscellaneous,Miscellaneous,
do-you-believe-there-is-life,Do you believe there is life on other planets?,do-you-believe-there-is-life,Do you believe there is life on other planets?,3,,,THEMES > Miscellaneous > Do you believe there is life on other planets?,miscellaneous,Miscellaneous,
do-you-consider-your-childhood,"Do you consider your
childhood to have been a happy one?",do-you-consider-your-childhood,"Do you consider your
childhood to have been a happy one?",3,,,"Preschool > Childhood Reflection > Do you consider your
childhood to have been a happy one?",childhood-reflection,Childhood Reflection,
do-you-have-a-dream-you-haven,"Do you have a dream you haven't achieved
yet? Will you keep trying?",do-you-have-a-dream-you-haven,"Do you have a dream you haven't achieved
yet? Will you keep trying?",3,,,"Adulthood > The Future > Do you have a dream you haven't achieved
yet? Will you keep trying?",the-future,The Future,
do-you-have-a-penny,Do You Have a Penny?,do-you-have-a-penny,Do You Have a Penny?,4,My Maternal Grand Mother,,Introduction > My Maternal Grandfather > What stories do you remember about him? > Do You Have a Penny?,what-stories-do-you-remember,My Maternal Grand Mother,
do-you-like-roller-coasters,Do you like roller coasters?,do-you-like-roller-coasters,Do you like roller coasters?,3,,,THEMES > Miscellaneous > Do you like roller coasters?,miscellaneous,Miscellaneous,
don-t-say-bad-words,Don�t Say Bad Words,don-t-say-bad-words,Don�t Say Bad Words,4,,,Preschool > What do you remember from this period? > Don�t Say Bad Words,what-do-you-remember-from-this,Preschool,
don-t-you-ever-talk,Don�t You Ever Talk?,don-t-you-ever-talk,Don�t You Ever Talk?,4,,,Introduction > Their Partnership > What stories do you remember of them dating? > Don�t You Ever Talk?,what-stories-do-you-remember,My Parents,
early-daredevil,Early Daredevil,early-daredevil,Early Daredevil,4,,,Preschool > What do you remember from this period? > Early Daredevil,what-do-you-remember-from-this,Preschool,
early-memories-of-money,Early Memories of Money,early-memories-of-money,Early Memories of Money,4,,,THEMES > Financial > What are your views on money? > Early Memories of Money,what-are-your-views-on-money,financial,
earthquake,Earthquake,earthquake,Earthquake,4,,,Adulthood > Graduate School > How did you choose a major? > Earthquake,how-did-you-choose-a-major,Graduate School,
education,Education,education,Education,3,,,THEMES > Issues > Education,issues,Issues,
educational-guinea-pig,Educational Guinea Pig,educational-guinea-pig,Educational Guinea Pig,4,,,Preschool > Middle School > What extracurricular activities did you join? > Educational Guinea Pig,what-extracurricular,Middle School,
electric,Electric,electric,Electric,4,,,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life? > Electric",what-inventions-have-had-the,S&T,
email,Email,email,Email,4,,,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life? > Email",what-inventions-have-had-the,S&T,
errant-shot,Errant Shot,errant-shot,Errant Shot,4,,,"Preschool > High School > Did
you participate in high school sports? > Errant Shot",did-you-participate-in-high,High School,
ethical-and-philosophical,Ethical and Philosophical Questions,ethical-and-philosophical,Ethical and Philosophical Questions,3,,,THEMES > Issues > Ethical and Philosophical Questions,issues,Issues,
european-controller,European Controller,european-controller,European Controller,4,,,Adulthood > Career > Harris/3M > European Controller,harris-3m,Harris/3M,
evolving-tastes-and-country,Evolving Tastes and Country Roads,evolving-tastes-and-country,Evolving Tastes and Country Roads,4,,,THEMES > Music > What did you listen to over the years? > Evolving Tastes and Country Roads,what-did-you-listen-to-over,Music,
fall-from-the-car,Fall From the Car,fall-from-the-car,Fall From the Car,4,,,Preschool > What do you remember from this period? > Fall From the Car,what-do-you-remember-from-this,Preschool,
fear-of-mice,Fear of Mice,fear-of-mice,Fear of Mice,4,,,Introduction > My Father > What beliefs or values did he instill in you? > Fear of Mice,what-beliefs-or-values-did-he,My Father,
fifth-grade,Fifth Grade,fifth-grade,Fifth Grade,4,,,Preschool > Elementary School > What do you remember from elementary school? > Fifth Grade,what-do-you-remember-from,Elementary School,
finance-director-international,"Finance Director, International",finance-director-international,"Finance Director, International",4,,,"Adulthood > Career > Harris/3M > Finance Director, International",harris-3m,Harris/3M,
finance-manager-row,"Finance Manager, ROW",finance-manager-row,"Finance Manager, ROW",4,,,"Adulthood > Career > Harris/3M > Finance Manager, ROW",harris-3m,Harris/3M,
financial-analyst,Financial Analyst,financial-analyst,Financial Analyst,4,,,Adulthood > Career > NCR > Financial Analyst,ncr,NCR,
first-detective-show,First Detective Show,first-detective-show,First Detective Show,4,,,Introduction > My Maternal Grandmother > What stories do you remember about her? > First Detective Show,what-stories-do-you-remember,My Maternal Grand Mother,
first-disappointment,First Disappointment,first-disappointment,First Disappointment,4,,,THEMES > Relationships > When was your first kiss? > First Disappointment,when-was-your-first-kiss,Companionship,
first-dorm,First Dorm,first-dorm,First Dorm,4,,,Adulthood > College > What memories do you have of college? > First Dorm,what-memories-do-you-have-of,College,
first-experience,First Experience,first-experience,First Experience,4,,,THEMES > Sports > How have sports influenced your life? > First Experience,how-have-sports-influenced,Sports,
first-grade,First Grade,first-grade,First Grade,4,,,Preschool > Elementary School > What do you remember from elementary school? > First Grade,what-do-you-remember-from,Elementary School,
first-heartbreak,First Heartbreak,first-heartbreak,First Heartbreak,4,,,Adulthood > College > What memories do you have of college? > First Heartbreak,what-memories-do-you-have-of,College,
first-home,First Home,first-home,First Home,4,,,Preschool > What do you remember from this period? > First Home,what-do-you-remember-from-this,Preschool,
first-lesson-about-fire,First Lesson About Fire,first-lesson-about-fire,First Lesson About Fire,4,,,Preschool > What do you remember from this period? > First Lesson About Fire,what-do-you-remember-from-this,Preschool,
first-moon-walk,First Moon Walk,first-moon-walk,First Moon Walk,4,,,THEMES > Historical Events > What cultural shifts influenced you? > First Moon Walk,what-cultural-shifts,W&P,
first-night,First Night,first-night,First Night,4,,,Adulthood > College > What memories do you have of college? > First Night,what-memories-do-you-have-of,College,
first-pet,First Pet,first-pet,First Pet,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > First Pet,what-do-you-remember-outside,Elementary School,
first-play,First Play,first-play,First Play,4,,,THEMES > Sports > How have sports influenced your life? > First Play,how-have-sports-influenced,Sports,
first-priority,First Priority,first-priority,First Priority,4,,,Introduction > My Father > What beliefs or values did he instill in you? > First Priority,what-beliefs-or-values-did-he,My Father,
first-purchased-house,First Purchased House,first-purchased-house,First Purchased House,4,,,THEMES > Financial > What are your views on money? > First Purchased House,what-are-your-views-on-money,Financial,
first-real-firing,First Real Firing,first-real-firing,First Real Firing,4,,,Adulthood > Career > What was your first real job? > First Real Firing,what-was-your-first-real-job,Career Reflection,
