Title,Category Path,Category,Category ID,Type,Category Level,Heading Level
Solitaire,"Introduction > My
Paternal Grandfather > What stories do you remember about him?",Paternal Grandfather,no match,Story,3,4
Go West Young Man,"Introduction > My
Paternal Grandfather > What stories do you remember about him?",Paternal Grandfather,no match,Story,3,4
Gidget,"Introduction > My
Paternal Grandfather > What stories do you remember about him?",Paternal Grandfather,no match,Story,3,4
His Death,"Introduction > My
Paternal Grandfather > What stories do you remember about him?",Paternal Grandfather,no match,Story,3,4
Who was your paternal grandmother?,Introduction > My Paternal Grandmother,Paternal Grandmother,no match,Story,2,3
What impact did she have on your life?,Introduction > My Paternal Grandmother,Paternal Grandmother,no match,Story,2,3
Seamstress for Pennies,Introduction > My Paternal Grandmother > What stories do you remember about her?,Paternal Grandmother,no match,Story,3,4
Part-time Sitter,Introduction > My Paternal Grandmother > What stories do you remember about her?,Paternal Grandmother,no match,Story,3,4
Muddy Bikes,Introduction > My Paternal Grandmother > What stories do you remember about her?,Paternal Grandmother,no match,Story,3,4
The Tattle Tail,Introduction > My Paternal Grandmother > What stories do you remember about her?,Paternal Grandmother,no match,Story,3,4
Coconut Cake,Introduction > My Paternal Grandmother > What stories do you remember about her?,Paternal Grandmother,no match,Story,3,4
She Loved to Fish,Introduction > My Paternal Grandmother > What stories do you remember about her?,Paternal Grandmother,no match,Story,3,4
Who was your maternal grandfather?,Introduction > My Maternal Grandfather,Maternal Grandfather,no match,Story,2,3
What impact did he have on your life?,Introduction > My Maternal Grandfather,Maternal Grandfather,no match,Story,2,3
Cough Drops,Introduction > My Maternal Grandfather > What stories do you remember about him?,Maternal Grandfather,no match,Story,3,4
Do You Have a Penny?,Introduction > My Maternal Grandfather > What stories do you remember about him?,Maternal Grandfather,no match,Story,3,4
Santa Won�t Stop,Introduction > My Maternal Grandfather > What stories do you remember about him?,Maternal Grandfather,no match,Story,3,4
Handyman,Introduction > My Maternal Grandfather > What stories do you remember about him?,Maternal Grandfather,no match,Story,3,4
Who was your maternal grandmother?,Introduction > My Maternal Grandmother,Maternal Grandmother,no match,Story,2,3
What impact did he have on your life?,Introduction > My Maternal Grandmother,Maternal Grandmother,no match,Story,2,3
First Detective Show,Introduction > My Maternal Grandmother > What stories do you remember about her?,Maternal Grandmother,no match,Story,3,4
Different Inside,Introduction > My Maternal Grandmother > What stories do you remember about her?,Maternal Grandmother,no match,Story,3,4
Disrespect,Introduction > My Maternal Grandmother > What stories do you remember about her?,Maternal Grandmother,no match,Story,3,4
My Maternal Step-Grandmother,Introduction,Maternal Step Grandmother,no match,Story,1,2
What impact did she have on your life?,Introduction > ,Maternal Step Grandmother,no match,Story,2,3
What stories do you remember about her?,Introduction > ,Maternal Step Grandmother,no match,Story,2,3
Childhood,,Preschool,no match,Story,0,1
First Home,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Early Daredevil,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
"Dad's
Garden",Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Don�t Say Bad Words,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Riding Horse,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Woodbine Terrace,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Good Morning Teacher,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Fall From the Car,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
First Lesson About Fire,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
The �Bond� Fire,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Learned to Ride a Bike,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Spitting Black,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
Blackberry Picking,Preschool > What do you remember from this period?,Preschool,no match,Story,3,4
"What
elementary school did you attend?",Preschool > Elementary School,Elementary,no match,Story,2,3
How did you get to school?,Preschool > Elementary School,Elementary,no match,Story,2,3
First Grade,Preschool > Elementary School > What do you remember from elementary school?,Elementary,no match,Story,3,4
Second Grade,Preschool > Elementary School > What do you remember from elementary school?,Elementary,no match,Story,3,4
Third Grade,Preschool > Elementary School > What do you remember from elementary school?,Elementary,no match,Story,3,4
Fourth Grade,Preschool > Elementary School > What do you remember from elementary school?,Elementary,no match,Story,3,4
Fifth Grade,Preschool > Elementary School > What do you remember from elementary school?,Elementary,no match,Story,3,4
What did you do during recess?,Preschool > Elementary School,Elementary,no match,Story,2,3
Who were your favorite teachers?,Preschool > Elementary School,Elementary,no match,Story,2,3
Times Were Different,"Preschool > Elementary School > Did you ever get in
trouble at school as a child?",Elementary,no match,Story,3,4
The Violin,Preschool > Elementary School > What school activities did you participate in?,Elementary,no match,Story,3,4
What games did you play at school?,Preschool > Elementary School,Elementary,no match,Story,2,3
Creighton Street,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
The House,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
My Bike,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Cub Scouts,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Pinewood Derby,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Yo-Yos,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
"Knocked His
Teeth Out",Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
The Fire,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Cement Fight,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Award Winning Decorations,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Three Men Died,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Penny Collection,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Yard on Fire,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Mistletoe,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Haircuts,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Umbrella Parachute,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Sheet Parachute,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Burning Leaves,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Brick on a String,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Flying Glass,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
The Runaways,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Boy Scout Accident,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Sheltered,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
The Tattle Tail,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Bicycles in the Mud,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Christmas Tree,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Ink Blots,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
"Manmade
Sledding",Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
First Pet,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Poor Frog,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Dad�s First and Last Deer,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Burning Leaves,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
"Punt, Pass & Kick",Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
"First
Black Person",Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Constant Competition,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
"Battle
Scars",Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
"Creative
Mishaps",Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Big Brother Tricks,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Home Life,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
YMCA Days,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Bambi,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
My Baseball Experience,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Wood�s Lake,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Camp Greenville,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
O Wah Tay Goo Si Am,Preschool > Elementary School > What do you remember outside of school about this time?,Elementary,no match,Story,3,4
Summer Movies,Preschool > Elementary School > How did you spend summers?,Elementary,no match,Story,3,4
Lake Hartwell,Preschool > Elementary School > How did you spend summers?,Elementary,no match,Story,3,4
Elementary Reflection,Preschool > Elementary School,Elementary,no match,Story,2,3
Personal,Preschool > Elementary School,Elementary,no match,Story,2,3
What were you like in Elementary School?,Preschool > Elementary School,Elementary,no match,Story,2,3
What achievements were you proud of?,Preschool > Elementary School,Elementary,no match,Story,2,3
Who were your role models?,Preschool > Elementary School,Elementary,no match,Story,2,3
Family,Preschool > Elementary School,Elementary,no match,Story,2,3
What was your daily routine?,Preschool > Elementary School,Elementary,no match,Story,2,3
What chores did you have?,Preschool > Elementary School,Elementary,no match,Story,2,3
What did you do after school?,Preschool > Elementary School,Elementary,no match,Story,2,3
What were family dinners like?,Preschool > Elementary School,Elementary,no match,Story,2,3
Social,Preschool > Elementary School,Elementary,no match,Story,2,3
Were you shy or outgoing?,Preschool > Elementary School,Elementary,no match,Story,2,3
Who were your friends?,Preschool > Elementary School,Elementary,no match,Story,2,3
What memorable social experiences?,Preschool > Elementary School,Elementary,no match,Story,2,3
What was the name of your middle school?,Preschool > Middle School,Middle,no match,Story,2,3
How did you get to middle school?,Preschool > Middle School,Middle,no match,Story,2,3
Which teachers influenced you most?,Preschool > Middle School,Middle,no match,Story,2,3
What subjects interested you?,Preschool > Middle School,Middle,no match,Story,2,3
How were your grades?,Preschool > Middle School,Middle,no match,Story,2,3
What was your favorite class?,Preschool > Middle School,Middle,no match,Story,2,3
What did you find challenging?,Preschool > Middle School,Middle,no match,Story,2,3
New Musical Direction,Preschool > Middle School > What extracurricular activities did you join?,Middle,no match,Story,3,4
Educational Guinea Pig,Preschool > Middle School > What extracurricular activities did you join?,Middle,no match,Story,3,4
Pretend Girlfriends,Preschool > Middle School > What extracurricular activities did you join?,Middle,no match,Story,3,4
Lab Partner Crush,Preschool > Middle School > What extracurricular activities did you join?,Middle,no match,Story,3,4
Off Campus Lunch,Preschool > Middle School > What extracurricular activities did you join?,Middle,no match,Story,3,4
Moving to Cleveland Street,Preschool > Middle School > What extracurricular activities did you join?,Middle,no match,Story,3,4
�How did you personally change during these years?,Preschool > Middle School,Middle,no match,Story,2,3
What social changes occurred?,Preschool > Middle School,Middle,no match,Story,2,3
Casualty Reports,Preschool > Middle School > What world events do you remember?,Middle,no match,Story,3,4
What cultural events influenced you?,Preschool > Middle School,Middle,no match,Story,2,3
"What
was the name of your high school?",Preschool > High School,High School,no match,Story,2,3
What was the mascot?,Preschool > High School,High School,no match,Story,2,3
Was there anything unique about it?,Preschool > High School,High School,no match,Story,2,3
New Friends,Preschool > High School > What was high school like?,High School,no match,Story,3,4
What courses did you take?,Preschool > High School,High School,no match,Story,2,3
Who were memorable teachers?,Preschool > High School,High School,no match,Story,2,3
What were your academic strengths?,Preschool > High School,High School,no match,Story,2,3
What achievements are you proud of?,Preschool > High School,High School,no match,Story,2,3
How did you prepare for college/future?,Preschool > High School,High School,no match,Story,2,3
Golf Team Failure,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Sophomore Year,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Golf Team Success,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Golf Team Disappointment,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Errant Shot,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Summer Golf,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
College Golf,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
The Golf Dream Expired,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
The Haunted House,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Friday Night Lights,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Senior Honor,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Pete�s Drive-In,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
Nicknames,"Preschool > High School > Did
you participate in high school sports?",High School,no match,Story,3,4
�Who was your favorite teacher in high school?,Preschool > High School,High School,no match,Story,2,3
What was your favorite class?,Preschool > High School,High School,no match,Story,2,3
The Bicentennial,Preschool > High School > What was your least favorite class?,High School,no match,Story,3,4
Parkins Mill Road,Preschool > High School > What was your least favorite class?,High School,no match,Story,3,4
Personal,Preschool > High School,High School,no match,Story,2,3
Freshman Ignorance,Preschool > High School > How did you change during high school?,High School,no match,Story,3,4
How did your interests evolve?,Preschool > High School,High School,no match,Story,2,3
What challenged you most?,Preschool > High School,High School,no match,Story,2,3
What achievements meant most?,Preschool > High School,High School,no match,Story,2,3
What learning experiences did you have?,Preschool > High School,High School,no match,Story,2,3
What were your plans for the future?,Preschool > High School,High School,no match,Story,2,3
Social,Preschool > High School,High School,no match,Story,2,3
Who were your friends?,Preschool > High School,High School,no match,Story,2,3
What did you do for fun?,Preschool > High School,High School,no match,Story,2,3
Did you date?,Preschool > High School,High School,no match,Story,2,3
What adventures did you have?,Preschool > High School,High School,no match,Story,2,3
Family,Preschool > High School,High School,no match,Story,2,3
How did your relationship with parents/siblings change?,Preschool > High School,High School,no match,Story,2,3
What role did you play in the family?,Preschool > High School,High School,no match,Story,2,3
What family conflicts occurred?,Preschool > High School,High School,no match,Story,2,3
How did discipline change?,Preschool > High School,High School,no match,Story,2,3
How did your family support you?,Preschool > High School,High School,no match,Story,2,3
What family gatherings occurred?,Preschool > High School,High School,no match,Story,2,3
What freedoms did you gain?,Preschool > High School,High School,no match,Story,2,3
What rules did you have?,Preschool > High School,High School,no match,Story,2,3
How did family meals change?,Preschool > High School,High School,no match,Story,2,3
Cultural,Preschool > High School,High School,no match,Story,2,3
What cultural events impacted you?,Preschool > High School,High School,no match,Story,2,3
What music was important to you?,Preschool > High School,High School,no match,Story,2,3
What TV shows did you watch?,Preschool > High School,High School,no match,Story,2,3
What movies influenced you?,Preschool > High School,High School,no match,Story,2,3
What fashion trends came about,Preschool > High School,High School,no match,Story,2,3
What world/political events do you remember?,Preschool > High School,High School,no match,Story,2,3
What business/economic conditions affected you?,Preschool > High School,High School,no match,Story,2,3
Personal,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
"Do you consider your
childhood to have been a happy one?",Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
"Were you well-behaved
or a rebel?",Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What shaped your identity?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What roles did you take on?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did your values evolve?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What beliefs changed?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What principles guided you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did your faith/spirituality develop?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What ethical challenges arose?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What caused you to question beliefs?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What convictions strengthened?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What changes surprised you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
Who did you want to become?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What were your aspirations?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did plans change?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What inspired you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What successes encouraged you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What fears did you face?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What disappoints did you experience?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you spend free time?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What hobbies did you develop?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What adventures did you have?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What travel experiences occurred?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What lifestyle choices did you make?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What new skills did you learn?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you handle money?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What situations challenged you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you make decisions?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What mistakes taught you most?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you solve problems?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What cultural trends affected you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What social issues concerned you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What lifestyle choices were common?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did your generation differ?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
Social,Preschool > Childhood Reflection,Social,no match,Story,2,3
Companionship,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
What dating or relationship experiences shaped you?,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
What did you learn about relationships?,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
How did your views on love change?,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
What did you want in a partner?,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
Friendship,Preschool > Childhood Reflection,Friendship,no match,Story,2,3
What friendships influenced you most?,Preschool > Childhood Reflection,Friendship,no match,Story,2,3
How did friendships change?,Preschool > Childhood Reflection,Friendship,no match,Story,2,3
Who remained close?,Preschool > Childhood Reflection,Friendship,no match,Story,2,3
What new friendships formed?,Preschool > Childhood Reflection,Friendship,no match,Story,2,3
How did you maintain connections?,Preschool > Childhood Reflection,Friendship,no match,Story,2,3
What activities did you share?,Preschool > Childhood Reflection,Friendship,no match,Story,2,3
Familyship,Preschool > Childhood Reflection,Familyship,no match,Story,2,3
"How did relationships change with mother, father, siblings?",Preschool > Childhood Reflection,Familyship,no match,Story,2,3
What role did you play in family?,Preschool > Childhood Reflection,Familyship,no match,Story,2,3
World & Politics,Preschool > Childhood Reflection,World & Politics,no match,Story,2,3
What world or political events influenced you?,Preschool > Childhood Reflection,World & Politics,no match,Story,2,3
Science & Technology,Preschool > Childhood Reflection,Science & Tenchology,no match,Story,2,3
What scientific or technological events influenced you?,Preschool > Childhood Reflection,Science & Tenchology,no match,Story,2,3
Economy & Business,Preschool > Childhood Reflection,Economy & Business,no match,Story,2,3
What economic or business events influenced you?,Preschool > Childhood Reflection,Economy & Business,no match,Story,2,3
Society & Culture,Preschool > Childhood Reflection,Society & Culture,no match,Story,2,3
"What societal or cultural events of elements of music, television, movies,
books, fashion influenced you?",Preschool > Childhood Reflection,Society & Culture,no match,Story,2,3
Did you go to college?,Adulthood > College,College,no match,Story,2,3
How did you decide to go to college?,Adulthood > College,College,no match,Story,2,3
How did you decide where to go to college?,Adulthood > College,College,no match,Story,2,3
What was your major and why?,Adulthood > College,College,no match,Story,2,3
What were your most/least favorite college courses?,Adulthood > College,College,no match,Story,2,3
What college achievements are you proud of?,Adulthood > College,College,no match,Story,2,3
How did your academic interests evolve?,Adulthood > College,College,no match,Story,2,3
What activities did you participate in outside of college?,Adulthood > College,College,no match,Story,2,3
Who were your influential professors?,Adulthood > College,College,no match,Story,2,3
Did you work in college?,Adulthood > College,College,no match,Story,2,3
Did you join a fraternity in college?,Adulthood > College,College,no match,Story,2,3
Move-In,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
First Night,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
First Dorm,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Scheduling,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
The Bookstore,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Kappa Sigma,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Panty Raids,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Muhammad Ali Fight,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Poor Study Skills,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
First Heartbreak,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Academic Turnaround,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Best Shape of My Life,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Green Hole,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Late Night Exploring,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Transfer to Clemson,Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
"The
1970�s",Adulthood > College > What memories do you have of college?,College,no match,Story,3,4
Lost Credits,"Adulthood > College > Why
did you transfer to Clemson?",College,no match,Story,3,4
Kappa Sigma � Round 2,"Adulthood > College > Why
did you transfer to Clemson?",College,no match,Story,3,4
Pledging,"Adulthood > College > Why
did you transfer to Clemson?",College,no match,Story,3,4
Arrogance Cost Me,"Adulthood > College > Why
did you transfer to Clemson?",College,no match,Story,3,4
Missed Being Grand Master,"Adulthood > College > Why
did you transfer to Clemson?",College,no match,Story,3,4
